time_stamp,pm2.5_alt,station,pm2.5_atm,pm2.5_cf_1
2022-03-27 18:00:00+00:00,11.8,100155,21.641,21.9825
2022-03-27 19:00:00+00:00,8.7,100155,15.121,15.1215
2022-03-27 20:00:00+00:00,8.3,100155,13.947,13.9655
2022-03-27 21:00:00+00:00,7.9,100155,12.985,13.133
2022-03-27 22:00:00+00:00,5.2,100155,8.3585,8.3605
2022-03-27 23:00:00+00:00,3.9,100155,6.045,6.045
2022-03-28 00:00:00+00:00,3.2,100155,4.8580000000000005,4.8580000000000005
2022-03-28 01:00:00+00:00,15.1,100155,23.3505,27.1885
2022-03-28 02:00:00+00:00,11.3,100155,20.1155,20.4905
2022-03-28 03:00:00+00:00,17.5,100155,31.488,34.27
2022-03-28 04:00:00+00:00,34.1,100155,53.027,70.7775
2022-03-28 05:00:00+00:00,37.3,100155,57.5615,78.8095
2022-03-28 06:00:00+00:00,40.2,100155,60.4545,85.981
2022-03-28 07:00:00+00:00,29.1,100155,50.0995,62.64
2022-03-28 08:00:00+00:00,16.4,100155,32.6865,34.2145
2022-03-28 09:00:00+00:00,15.0,100155,29.068,30.929
2022-03-28 10:00:00+00:00,14.8,100155,29.4465,30.6745
2022-03-28 11:00:00+00:00,13.5,100155,27.207,27.87
2022-03-28 12:00:00+00:00,14.7,100155,29.566,30.3075
2022-03-28 13:00:00+00:00,12.2,100155,22.177,24.669
2022-03-28 14:00:00+00:00,11.5,100155,23.380000000000003,23.393500000000003
2022-03-28 15:00:00+00:00,13.2,100155,26.315,26.3635
2022-03-28 16:00:00+00:00,12.7,100155,23.6455,23.672
2022-03-28 17:00:00+00:00,13.9,100155,23.118,25.329
2022-03-28 18:00:00+00:00,9.0,100155,15.200500000000002,15.200500000000002
2022-03-28 19:00:00+00:00,6.9,100155,11.394,11.394
2022-03-28 20:00:00+00:00,3.5,100155,5.214,5.214
2022-03-28 21:00:00+00:00,2.9,100155,4.295999999999999,4.295999999999999
2022-03-28 22:00:00+00:00,0.9,100155,0.8325,0.8325
2022-03-28 23:00:00+00:00,2.4,100155,3.5125,3.5525
2022-03-29 00:00:00+00:00,2.6,100155,3.625,3.625
2022-03-29 01:00:00+00:00,1.9,100155,2.5455,2.5455
2022-03-29 02:00:00+00:00,0.8,100155,0.7050000000000001,0.7050000000000001
2022-03-29 03:00:00+00:00,4.3,100155,6.9975000000000005,7.0345
2022-03-29 04:00:00+00:00,3.6,100155,5.664,5.6645
2022-03-29 05:00:00+00:00,5.6,100155,9.628,9.651
2022-03-29 06:00:00+00:00,6.4,100155,10.668500000000002,11.322
2022-03-29 07:00:00+00:00,12.2,100155,20.939,23.7315
2022-03-29 08:00:00+00:00,10.6,100155,21.01,21.142
