DATE_PST,DATE,TIME,STATION_NAME,EMS_ID,PM25_RAW,PM25,PM25_INSTRUMENT,PM10_RAW,PM10,PM10_INSTRUMENT
2018-01-01 01:00:00,2018-01-01,01:00,Golden Helipad,E292149,1.936054,1.9,PM25_SHARP5030i,5.67875,5.7,PM10_R&P_TEOM
2018-01-01 02:00:00,2018-01-01,02:00,Golden Helipad,E292149,1.986263,2,PM25_SHARP5030i,5.653888,5.7,PM10_R&P_TEOM
2018-01-01 03:00:00,2018-01-01,03:00,Golden Helipad,E292149,1.669082,1.7,PM25_SHARP5030i,5.315137,5.3,PM10_R&P_TEOM
2018-01-01 04:00:00,2018-01-01,04:00,Golden Helipad,E292149,1.728399,1.7,PM25_SHARP5030i,4.804443,4.8,PM10_R&P_TEOM
2018-01-01 05:00:00,2018-01-01,05:00,Golden Helipad,E292149,1.62764,1.6,PM25_SHARP5030i,4.769027,4.8,PM10_R&P_TEOM
2018-01-01 06:00:00,2018-01-01,06:00,Golden Helipad,E292149,1.539893,1.5,PM25_SHARP5030i,4.783194,4.8,PM10_R&P_TEOM
2018-01-01 07:00:00,2018-01-01,07:00,Golden Helipad,E292149,1.527744,1.5,PM25_SHARP5030i,5.698332,5.7,PM10_R&P_TEOM
2018-01-01 08:00:00,2018-01-01,08:00,Golden Helipad,E292149,1.551915,1.6,PM25_SHARP5030i,5.84611,5.8,PM10_R&P_TEOM
2018-01-01 09:00:00,2018-01-01,09:00,Golden Helipad,E292149,1.268254,1.3,PM25_SHARP5030i,5.585277,5.6,PM10_R&P_TEOM
2018-01-01 10:00:00,2018-01-01,10:00,Golden Helipad,E292149,2.158579,2.2,PM25_SHARP5030i,7.11875,7.1,PM10_R&P_TEOM
2018-01-01 11:00:00,2018-01-01,11:00,Golden Helipad,E292149,1.235631,1.2,PM25_SHARP5030i,9.772915,9.8,PM10_R&P_TEOM
2018-01-01 12:00:00,2018-01-01,12:00,Golden Helipad,E292149,1.202695,1.2,PM25_SHARP5030i,4.835277,4.8,PM10_R&P_TEOM
2018-01-01 13:00:00,2018-01-01,13:00,Golden Helipad,E292149,1.736381,1.7,PM25_SHARP5030i,7.3975,7.4,PM10_R&P_TEOM
2018-01-01 14:00:00,2018-01-01,14:00,Golden Helipad,E292149,5.055848,5.1,PM25_SHARP5030i,8.36375,8.4,PM10_R&P_TEOM
2018-01-01 15:00:00,2018-01-01,15:00,Golden Helipad,E292149,8.440712,8.4,PM25_SHARP5030i,10.62028,10.6,PM10_R&P_TEOM
2018-01-01 16:00:00,2018-01-01,16:00,Golden Helipad,E292149,9.791241,9.8,PM25_SHARP5030i,14.2975,14.3,PM10_R&P_TEOM
2018-01-01 17:00:00,2018-01-01,17:00,Golden Helipad,E292149,19.41082,19.4,PM25_SHARP5030i,18.75889,18.8,PM10_R&P_TEOM
2018-01-01 18:00:00,2018-01-01,18:00,Golden Helipad,E292149,6.764517,6.8,PM25_SHARP5030i,15.43291,15.4,PM10_R&P_TEOM
2018-01-01 19:00:00,2018-01-01,19:00,Golden Helipad,E292149,13.87687,13.9,PM25_SHARP5030i,22.24361,22.2,PM10_R&P_TEOM
2018-01-01 20:00:00,2018-01-01,20:00,Golden Helipad,E292149,13.21402,13.2,PM25_SHARP5030i,21.57055,21.6,PM10_R&P_TEOM
2018-01-01 21:00:00,2018-01-01,21:00,Golden Helipad,E292149,21.65553,21.7,PM25_SHARP5030i,25.49125,25.5,PM10_R&P_TEOM
