DATE_PST,DATE,TIME,STATION_NAME,EMS_ID,PM25_RAW,PM25,PM25_INSTRUMENT,PM25_2_RAW,PM25_2,PM25_2_INSTRUMENT,PM10_RAW,PM10,PM10_INSTRUMENT
2013-02-28 11:00:00,2013-02-28,11:00,Golden Helipad,E292149,2.381582,2.4,PM25_R&P_TEOM,,,,40.9697,41,PM10_R&P_TEOM
2013-02-28 12:00:00,2013-02-28,12:00,Golden Helipad,E292149,1.73335,1.7,PM25_R&P_TEOM,,,,39.15384,39.2,PM10_R&P_TEOM
2013-02-28 13:00:00,2013-02-28,13:00,Golden Helipad,E292149,1.42524,1.4,PM25_R&P_TEOM,,,,41.91975,41.9,PM10_R&P_TEOM
2013-02-28 14:00:00,2013-02-28,14:00,Golden Helipad,E292149,1.29584,1.3,PM25_R&P_TEOM,,,,42.60448,42.6,PM10_R&P_TEOM
2013-02-28 15:00:00,2013-02-28,15:00,Golden Helipad,E292149,2.640255,2.6,PM25_R&P_TEOM,,,,50.43767,50.4,PM10_R&P_TEOM
2013-02-28 16:00:00,2013-02-28,16:00,Golden Helipad,E292149,3.207087,3.2,PM25_R&P_TEOM,,,,58.3588,58.4,PM10_R&P_TEOM
2013-02-28 17:00:00,2013-02-28,17:00,Golden Helipad,E292149,4.506661,4.5,PM25_R&P_TEOM,,,,53.19054,53.2,PM10_R&P_TEOM
2013-02-28 18:00:00,2013-02-28,18:00,Golden Helipad,E292149,3.617079,3.6,PM25_R&P_TEOM,,,,50.26485,50.3,PM10_R&P_TEOM
2013-02-28 19:00:00,2013-02-28,19:00,Golden Helipad,E292149,3.608201,3.6,PM25_R&P_TEOM,,,,39.76965,39.8,PM10_R&P_TEOM
2013-02-28 20:00:00,2013-02-28,20:00,Golden Helipad,E292149,2.413501,2.4,PM25_R&P_TEOM,,,,23.23944,23.2,PM10_R&P_TEOM
2013-02-28 21:00:00,2013-02-28,21:00,Golden Helipad,E292149,4.291827,4.3,PM25_R&P_TEOM,,,,21.69929,21.7,PM10_R&P_TEOM
2013-02-28 22:00:00,2013-02-28,22:00,Golden Helipad,E292149,6.989384,7,PM25_R&P_TEOM,,,,19.11195,19.1,PM10_R&P_TEOM
2013-02-28 23:00:00,2013-02-28,23:00,Golden Helipad,E292149,3.127017,3.1,PM25_R&P_TEOM,,,,10.11983,10.1,PM10_R&P_TEOM
2013-03-01 00:00:00,2013-02-28,24:00,Golden Helipad,E292149,2.860599,2.9,PM25_R&P_TEOM,,,,8.424152,8.4,PM10_R&P_TEOM
2013-03-01 01:00:00,2013-03-01,01:00,Golden Helipad,E292149,2.308485,2.3,PM25_R&P_TEOM,,,,7.797686,7.8,PM10_R&P_TEOM
2013-03-01 02:00:00,2013-03-01,02:00,Golden Helipad,E292149,2.278656,2.3,PM25_R&P_TEOM,,,,7.284101,7.3,PM10_R&P_TEOM
2013-03-01 03:00:00,2013-03-01,03:00,Golden Helipad,E292149,0.882022,0.9,PM25_R&P_TEOM,,,,5.373706,5.4,PM10_R&P_TEOM
2013-03-01 04:00:00,2013-03-01,04:00,Golden Helipad,E292149,0.881358,0.9,PM25_R&P_TEOM,,,,5.475308,5.5,PM10_R&P_TEOM
2013-03-01 05:00:00,2013-03-01,05:00,Golden Helipad,E292149,1.818297,1.8,PM25_R&P_TEOM,,,,5.750154,5.8,PM10_R&P_TEOM
2013-03-01 06:00:00,2013-03-01,06:00,Golden Helipad,E292149,0.789264,0.8,PM25_R&P_TEOM,,,,3.988491,4,PM10_R&P_TEOM
2013-03-01 07:00:00,2013-03-01,07:00,Golden Helipad,E292149,0.96811,1,PM25_R&P_TEOM,,,,4.88333,4.9,PM10_R&P_TEOM
2013-03-01 08:00:00,2013-03-01,08:00,Golden Helipad,E292149,0.655448,0.7,PM25_R&P_TEOM,,,,4.696071,4.7,PM10_R&P_TEOM
2013-03-01 09:00:00,2013-03-01,09:00,Golden Helipad,E292149,0.572669,0.6,PM25_R&P_TEOM,,,,5.525287,5.5,PM10_R&P_TEOM
2013-03-01 10:00:00,2013-03-01,10:00,Golden Helipad,E292149,0,0,PM25_R&P_TEOM,,,,3.108129,3.1,PM10_R&P_TEOM
2013-03-01 11:00:00,2013-03-01,11:00,Golden Helipad,E292149,0.182704,0.2,PM25_R&P_TEOM,,,,3.992296,4,PM10_R&P_TEOM
2013-03-01 12:00:00,2013-03-01,12:00,Golden Helipad,E292149,0.995739,1,PM25_R&P_TEOM,,,,4.830292,4.8,PM10_R&P_TEOM
2013-03-01 13:00:00,2013-03-01,13:00,Golden Helipad,E292149,0.020767,0,PM25_R&P_TEOM,,,,3.92085,3.9,PM10_R&P_TEOM
2013-03-01 14:00:00,2013-03-01,14:00,Golden Helipad,E292149,0,0,PM25_R&P_TEOM,,,,2.742175,2.7,PM10_R&P_TEOM
2013-03-01 15:00:00,2013-03-01,15:00,Golden Helipad,E292149,2.863749,2.9,PM25_R&P_TEOM,,,,6.932186,6.9,PM10_R&P_TEOM
2013-03-01 16:00:00,2013-03-01,16:00,Golden Helipad,E292149,3.385735,3.4,PM25_R&P_TEOM,,,,8.723984,8.7,PM10_R&P_TEOM
2013-03-01 17:00:00,2013-03-01,17:00,Golden Helipad,E292149,4.304809,4.3,PM25_R&P_TEOM,,,,9.333341,9.3,PM10_R&P_TEOM
2013-03-01 18:00:00,2013-03-01,18:00,Golden Helipad,E292149,4.057794,4.1,PM25_R&P_TEOM,,,,10.0307,10,PM10_R&P_TEOM
2013-03-01 19:00:00,2013-03-01,19:00,Golden Helipad,E292149,4.861019,4.9,PM25_R&P_TEOM,,,,9.358227,9.4,PM10_R&P_TEOM
2013-03-01 20:00:00,2013-03-01,20:00,Golden Helipad,E292149,5.01653,5,PM25_R&P_TEOM,,,,9.624056,9.6,PM10_R&P_TEOM
2013-03-01 21:00:00,2013-03-01,21:00,Golden Helipad,E292149,5.824966,5.8,PM25_R&P_TEOM,,,,10.5238,10.5,PM10_R&P_TEOM
2013-03-01 22:00:00,2013-03-01,22:00,Golden Helipad,E292149,8.206119,8.2,PM25_R&P_TEOM,,,,12.77092,12.8,PM10_R&P_TEOM
2013-03-01 23:00:00,2013-03-01,23:00,Golden Helipad,E292149,6.449794,6.4,PM25_R&P_TEOM,,,,10.53571,10.5,PM10_R&P_TEOM
2013-03-02 00:00:00,2013-03-01,24:00,Golden Helipad,E292149,9.032683,9,PM25_R&P_TEOM,,,,13.50396,13.5,PM10_R&P_TEOM
2013-03-02 01:00:00,2013-03-02,01:00,Golden Helipad,E292149,12.24509,12.2,PM25_R&P_TEOM,,,,17.9262,17.9,PM10_R&P_TEOM
2013-03-02 02:00:00,2013-03-02,02:00,Golden Helipad,E292149,3.865186,3.9,PM25_R&P_TEOM,,,,8.969972,9,PM10_R&P_TEOM
2013-03-02 03:00:00,2013-03-02,03:00,Golden Helipad,E292149,0.012656,0,PM25_R&P_TEOM,,,,5.45718,5.5,PM10_R&P_TEOM
2013-03-02 04:00:00,2013-03-02,04:00,Golden Helipad,E292149,0.390628,0.4,PM25_R&P_TEOM,,,,4.858719,4.9,PM10_R&P_TEOM
2013-03-02 05:00:00,2013-03-02,05:00,Golden Helipad,E292149,1.197576,1.2,PM25_R&P_TEOM,,,,5.328719,5.3,PM10_R&P_TEOM
2013-03-02 06:00:00,2013-03-02,06:00,Golden Helipad,E292149,4.557272,4.6,PM25_R&P_TEOM,,,,7.728411,7.7,PM10_R&P_TEOM
2013-03-02 07:00:00,2013-03-02,07:00,Golden Helipad,E292149,12.92646,12.9,PM25_R&P_TEOM,,,,17.69906,17.7,PM10_R&P_TEOM
2013-03-02 08:00:00,2013-03-02,08:00,Golden Helipad,E292149,6.288747,6.3,PM25_R&P_TEOM,,,,10.47682,10.5,PM10_R&P_TEOM
2013-03-02 09:00:00,2013-03-02,09:00,Golden Helipad,E292149,4.005956,4,PM25_R&P_TEOM,,,,8.23103,8.2,PM10_R&P_TEOM
2013-03-02 10:00:00,2013-03-02,10:00,Golden Helipad,E292149,4.40248,4.4,PM25_R&P_TEOM,,,,9.224042,9.2,PM10_R&P_TEOM
2013-03-02 11:00:00,2013-03-02,11:00,Golden Helipad,E292149,0,0,PM25_R&P_TEOM,,,,2.850862,2.9,PM10_R&P_TEOM
2013-03-02 12:00:00,2013-03-02,12:00,Golden Helipad,E292149,0.000498,0,PM25_R&P_TEOM,,,,3.787533,3.8,PM10_R&P_TEOM
2013-03-02 13:00:00,2013-03-02,13:00,Golden Helipad,E292149,0.004408,0,PM25_R&P_TEOM,,,,3.409821,3.4,PM10_R&P_TEOM
2013-03-02 14:00:00,2013-03-02,14:00,Golden Helipad,E292149,0.318774,0.3,PM25_R&P_TEOM,,,,3.660223,3.7,PM10_R&P_TEOM
2013-03-02 15:00:00,2013-03-02,15:00,Golden Helipad,E292149,1.109552,1.1,PM25_R&P_TEOM,,,,6.009726,6,PM10_R&P_TEOM
2013-03-02 16:00:00,2013-03-02,16:00,Golden Helipad,E292149,2.503299,2.5,PM25_R&P_TEOM,,,,12.05794,12.1,PM10_R&P_TEOM
2013-03-02 17:00:00,2013-03-02,17:00,Golden Helipad,E292149,1.341958,1.3,PM25_R&P_TEOM,,,,12.26467,12.3,PM10_R&P_TEOM
2013-03-02 18:00:00,2013-03-02,18:00,Golden Helipad,E292149,1.024685,1,PM25_R&P_TEOM,,,,8.995947,9,PM10_R&P_TEOM
2013-03-02 19:00:00,2013-03-02,19:00,Golden Helipad,E292149,2.684861,2.7,PM25_R&P_TEOM,,,,12.32656,12.3,PM10_R&P_TEOM
2013-03-02 20:00:00,2013-03-02,20:00,Golden Helipad,E292149,5.008179,5,PM25_R&P_TEOM,,,,13.71731,13.7,PM10_R&P_TEOM
2013-03-02 21:00:00,2013-03-02,21:00,Golden Helipad,E292149,1.21123,1.2,PM25_R&P_TEOM,,,,8.875173,8.9,PM10_R&P_TEOM
2013-03-02 22:00:00,2013-03-02,22:00,Golden Helipad,E292149,0.486867,0.5,PM25_R&P_TEOM,,,,8.5161,8.5,PM10_R&P_TEOM
2013-03-02 23:00:00,2013-03-02,23:00,Golden Helipad,E292149,4.409502,4.4,PM25_R&P_TEOM,,,,12.34419,12.3,PM10_R&P_TEOM
2013-03-03 00:00:00,2013-03-02,24:00,Golden Helipad,E292149,3.157665,3.2,PM25_R&P_TEOM,,,,9.692129,9.7,PM10_R&P_TEOM
2013-03-03 01:00:00,2013-03-03,01:00,Golden Helipad,E292149,2.422751,2.4,PM25_R&P_TEOM,,,,6.272706,6.3,PM10_R&P_TEOM
