DATE_PST,DATE,TIME,STATION_NAME,EMS_ID,PM25_RAW,PM25,PM25_INSTRUMENT,PM25_2_RAW,PM25_2,PM25_2_INSTRUMENT,PM10_RAW,PM10,PM10_INSTRUMENT
2015-01-01 01:00:00,2015-01-01,01:00,Golden Helipad,E292149,17.95071,18,PM25_SHARP5030i,12.55859,12.6,PM25_R&P_TEOM,17.75465,17.8,PM10_R&P_TEOM
2015-01-01 02:00:00,2015-01-01,02:00,Golden Helipad,E292149,8.576688,8.6,PM25_SHARP5030i,4.055817,4.1,PM25_R&P_TEOM,7.985514,8,PM10_R&P_TEOM
2015-01-01 03:00:00,2015-01-01,03:00,Golden Helipad,E292149,7.127739,7.1,PM25_SHARP5030i,2.389219,2.4,PM25_R&P_TEOM,6.214233,6.2,PM10_R&P_TEOM
2015-01-01 04:00:00,2015-01-01,04:00,Golden Helipad,E292149,5.828761,5.8,PM25_SHARP5030i,2.445502,2.4,PM25_R&P_TEOM,5.860732,5.9,PM10_R&P_TEOM
2015-01-01 05:00:00,2015-01-01,05:00,Golden Helipad,E292149,7.320137,7.3,PM25_SHARP5030i,4.325331,4.3,PM25_R&P_TEOM,7.740471,7.7,PM10_R&P_TEOM
2015-01-01 06:00:00,2015-01-01,06:00,Golden Helipad,E292149,7.380208,7.4,PM25_SHARP5030i,4.735476,4.7,PM25_R&P_TEOM,7.881521,7.9,PM10_R&P_TEOM
2015-01-01 07:00:00,2015-01-01,07:00,Golden Helipad,E292149,7.108635,7.1,PM25_SHARP5030i,4.306757,4.3,PM25_R&P_TEOM,8.540457,8.5,PM10_R&P_TEOM
2015-01-01 08:00:00,2015-01-01,08:00,Golden Helipad,E292149,7.196506,7.2,PM25_SHARP5030i,2.849512,2.8,PM25_R&P_TEOM,7.101296,7.1,PM10_R&P_TEOM
2015-01-01 09:00:00,2015-01-01,09:00,Golden Helipad,E292149,5.340156,5.3,PM25_SHARP5030i,1.85473,1.9,PM25_R&P_TEOM,5.84542,5.8,PM10_R&P_TEOM
2015-01-01 10:00:00,2015-01-01,10:00,Golden Helipad,E292149,4.375847,4.4,PM25_SHARP5030i,1.34044,1.3,PM25_R&P_TEOM,5.219148,5.2,PM10_R&P_TEOM
2015-01-01 11:00:00,2015-01-01,11:00,Golden Helipad,E292149,5.296104,5.3,PM25_SHARP5030i,3.358263,3.4,PM25_R&P_TEOM,6.55794,6.6,PM10_R&P_TEOM
2015-01-01 12:00:00,2015-01-01,12:00,Golden Helipad,E292149,5.656313,5.7,PM25_SHARP5030i,4.644465,4.6,PM25_R&P_TEOM,8.20217,8.2,PM10_R&P_TEOM
2015-01-01 13:00:00,2015-01-01,13:00,Golden Helipad,E292149,5.818984,5.8,PM25_SHARP5030i,4.801304,4.8,PM25_R&P_TEOM,9.126299,9.1,PM10_R&P_TEOM
