DATE_PST,DATE,TIME,STATION_NAME,EMS_ID,PM25_RAW,PM25,PM25_INSTRUMENT,PM25_2_RAW,PM25_2,PM25_2_INSTRUMENT,PM10_RAW,PM10,PM10_INSTRUMENT
2014-01-01 01:00:00,2014-01-01,01:00,Golden Helipad,E292149,21.96521,22,PM25_SHARP5030i,10.81828,10.8,PM25_R&P_TEOM,14.83682,14.8,PM10_R&P_TEOM
2014-01-01 02:00:00,2014-01-01,02:00,Golden Helipad,E292149,14.86855,14.9,PM25_SHARP5030i,6.086336,6.1,PM25_R&P_TEOM,8.408383,8.4,PM10_R&P_TEOM
2014-01-01 03:00:00,2014-01-01,03:00,Golden Helipad,E292149,12.17057,12.2,PM25_SHARP5030i,6.619596,6.6,PM25_R&P_TEOM,10.94013,10.9,PM10_R&P_TEOM
2014-01-01 04:00:00,2014-01-01,04:00,Golden Helipad,E292149,20.75233,20.8,PM25_SHARP5030i,9.772147,9.8,PM25_R&P_TEOM,12.70759,12.7,PM10_R&P_TEOM
2014-01-01 05:00:00,2014-01-01,05:00,Golden Helipad,E292149,8.733423,8.7,PM25_SHARP5030i,3.524455,3.5,PM25_R&P_TEOM,6.327723,6.3,PM10_R&P_TEOM
2014-01-01 06:00:00,2014-01-01,06:00,Golden Helipad,E292149,10.08458,10.1,PM25_SHARP5030i,3.718713,3.7,PM25_R&P_TEOM,7.525166,7.5,PM10_R&P_TEOM
2014-01-01 07:00:00,2014-01-01,07:00,Golden Helipad,E292149,8.405223,8.4,PM25_SHARP5030i,5.672851,5.7,PM25_R&P_TEOM,8.758942,8.8,PM10_R&P_TEOM
2014-01-01 08:00:00,2014-01-01,08:00,Golden Helipad,E292149,6.835431,6.8,PM25_SHARP5030i,3.841181,3.8,PM25_R&P_TEOM,7.231235,7.2,PM10_R&P_TEOM
2014-01-01 09:00:00,2014-01-01,09:00,Golden Helipad,E292149,6.603302,6.6,PM25_SHARP5030i,4.109158,4.1,PM25_R&P_TEOM,7.479389,7.5,PM10_R&P_TEOM
2014-01-01 10:00:00,2014-01-01,10:00,Golden Helipad,E292149,6.49311,6.5,PM25_SHARP5030i,3.950444,4,PM25_R&P_TEOM,6.199328,6.2,PM10_R&P_TEOM
